runs,balls,boundaries,dots,strike_rate,boundary_percentage
768.0,573,0,0,134.03141361256544,0.0
38.0,29,0,0,131.0344827586207,0.0
12.0,14,0,0,85.71428571428571,0.0
193.0,172,0,0,112.20930232558139,0.0
81.0,46,0,0,176.08695652173913,0.0
2.0,5,0,0,40.0,0.0
1.0,6,0,0,16.666666666666664,0.0
2.0,8,0,0,25.0,0.0
52.0,49,0,0,106.12244897959184,0.0
36.0,31,0,0,116.12903225806453,0.0
39.0,26,0,0,150.0,0.0
11.0,16,0,0,68.75,0.0
11.0,20,0,0,55.00000000000001,0.0
31.0,26,0,0,119.23076923076923,0.0
12.0,19,0,0,63.1578947368421,0.0
10.0,29,0,0,34.48275862068966,0.0
544.0,457,0,0,119.03719912472648,0.0
686.0,611,0,0,112.27495908346971,0.0
8.0,11,0,0,72.72727272727273,0.0
55.0,39,0,0,141.02564102564102,0.0
0.0,1,0,0,0.0,0.0
2.0,12,0,0,16.666666666666664,0.0
4.0,10,0,0,40.0,0.0
39.0,19,0,0,205.26315789473685,0.0
1012.0,832,0,0,121.63461538461537,0.0
1263.0,787,0,0,160.4828462515883,0.0
4.0,3,0,0,133.33333333333331,0.0
6.0,5,0,0,120.0,0.0
2.0,2,0,0,100.0,0.0
282.0,271,0,0,104.0590405904059,0.0
15.0,28,0,0,53.57142857142857,0.0
130.0,129,0,0,100.7751937984496,0.0
56.0,76,0,0,73.68421052631578,0.0
20.0,24,0,0,83.33333333333334,0.0
298.0,213,0,0,139.90610328638496,0.0
81.0,73,0,0,110.95890410958904,0.0
114.0,123,0,0,92.6829268292683,0.0
696.0,594,0,0,117.17171717171718,0.0
0.0,1,0,0,0.0,0.0
1121.0,721,0,0,155.47850208044383,0.0
88.0,91,0,0,96.7032967032967,0.0
47.0,67,0,0,70.1492537313433,0.0
3.0,7,0,0,42.857142857142854,0.0
1137.0,901,0,0,126.19311875693673,0.0
66.0,70,0,0,94.28571428571428,0.0
