runs_conceded,balls,wickets,economy
98.0,70,2.0,8.399999999999999
807.0,584,28.0,8.29109589041096
59.0,28,1.0,12.642857142857142
307.0,199,9.0,9.256281407035175
71.0,63,2.0,6.761904761904762
40.0,37,1.0,6.486486486486487
20.0,18,0.0,6.666666666666667
35.0,30,0.0,7.0
133.0,92,5.0,8.673913043478262
241.0,132,7.0,10.954545454545453
1379.0,1023,46.0,8.087976539589443
29.0,24,2.0,7.25
85.0,61,4.0,8.360655737704917
101.0,90,5.0,6.733333333333333
855.0,651,34.0,7.880184331797235
42.0,31,1.0,8.129032258064516
1274.0,985,50.0,7.760406091370558
1255.0,1039,60.0,7.2473532242540895
277.0,172,4.0,9.662790697674419
539.0,517,23.0,6.25531914893617
586.0,462,27.0,7.6103896103896105
396.0,289,9.0,8.221453287197232
65.0,36,3.0,10.833333333333334
122.0,82,3.0,8.926829268292682
341.0,301,16.0,6.79734219269103
1112.0,828,48.0,8.057971014492754
393.0,338,14.0,6.976331360946746
11.0,6,0.0,11.0
367.0,307,15.0,7.172638436482085
363.0,290,15.0,7.510344827586207
660.0,522,26.0,7.586206896551724
7.0,7,0.0,6.0
1503.0,1174,64.0,7.681431005110732
24.0,12,0.0,12.0
479.0,413,15.0,6.958837772397094
214.0,144,7.0,8.916666666666668
137.0,90,5.0,9.133333333333333
8.0,6,0.0,8.0
99.0,61,3.0,9.737704918032787
132.0,90,5.0,8.799999999999999
8.0,6,1.0,8.0
173.0,110,4.0,9.436363636363637
90.0,67,3.0,8.059701492537314
186.0,99,6.0,11.272727272727273
177.0,143,7.0,7.426573426573427
948.0,726,34.0,7.834710743801653
24.0,12,0.0,12.0
304.0,220,6.0,8.290909090909091
22.0,13,1.0,10.153846153846153
221.0,153,6.0,8.666666666666666
696.0,529,32.0,7.894139886578449
82.0,55,1.0,8.945454545454545
278.0,222,9.0,7.513513513513514
93.0,71,5.0,7.859154929577465
273.0,219,9.0,7.479452054794521
62.0,38,2.0,9.789473684210526
225.0,191,9.0,7.068062827225131
304.0,204,6.0,8.941176470588236
455.0,395,19.0,6.911392405063291
1041.0,810,46.0,7.711111111111111
1361.0,1131,57.0,7.220159151193633
886.0,836,57.0,6.358851674641148
74.0,67,3.0,6.6268656716417915
307.0,280,13.0,6.578571428571429
59.0,37,0.0,9.567567567567567
714.0,621,32.0,6.898550724637682
34.0,25,1.0,8.16
396.0,301,16.0,7.893687707641195
41.0,25,0.0,9.84
375.0,285,18.0,7.894736842105264
237.0,185,9.0,7.686486486486487
111.0,87,7.0,7.655172413793104
154.0,103,5.0,8.970873786407767
54.0,46,5.0,7.043478260869566
87.0,58,2.0,9.0
275.0,265,24.0,6.226415094339623
41.0,36,1.0,6.833333333333333
164.0,144,10.0,6.833333333333333
167.0,119,4.0,8.42016806722689
144.0,110,6.0,7.8545454545454545
272.0,218,5.0,7.486238532110092
341.0,257,11.0,7.961089494163424
198.0,153,14.0,7.764705882352942
220.0,169,3.0,7.810650887573964
182.0,108,6.0,10.11111111111111
36.0,24,1.0,9.0
549.0,371,16.0,8.878706199460916
180.0,132,3.0,8.181818181818182
61.0,32,0.0,11.4375
428.0,298,19.0,8.617449664429529
98.0,75,4.0,7.84
117.0,87,5.0,8.068965517241379
364.0,288,22.0,7.583333333333333
80.0,49,4.0,9.795918367346939
284.0,192,7.0,8.875
311.0,222,15.0,8.405405405405405
868.0,741,32.0,7.02834008097166
471.0,388,19.0,7.283505154639174
1149.0,863,47.0,7.988412514484356
