batter,bowling_team,runs,balls,strike_rate
V Sehwag,Royal Challengers Bangalore,150.0,92,163.04347826086956
V Sehwag,Sunrisers Hyderabad,317.0,183,173.224043715847
VR Aaron,Kolkata Knight Riders,1.0,1,100.0
VR Aaron,Punjab Kings,0.0,5,0.0
VRV Singh,Chennai Super Kings,0.0,1,0.0
VRV Singh,Mumbai Indians,4.0,2,200.0
VS Malik,Mumbai Indians,6.0,5,120.0
VS Yeligati,Punjab Kings,2.0,2,100.0
VVS Laxman,Chennai Super Kings,16.0,23,69.56521739130434
VVS Laxman,Delhi Capitals,2.0,6,33.33333333333333
VVS Laxman,Kolkata Knight Riders,32.0,30,106.66666666666667
VVS Laxman,Mumbai Indians,41.0,35,117.14285714285715
VVS Laxman,Punjab Kings,58.0,42,138.0952380952381
VVS Laxman,Rajasthan Royals,40.0,49,81.63265306122449
VVS Laxman,Rising Pune Supergiant,0.0,3,0.0
VVS Laxman,Royal Challengers Bangalore,93.0,83,112.04819277108433
VY Mahesh,Kolkata Knight Riders,3.0,7,42.857142857142854
VY Mahesh,Mumbai Indians,3.0,5,60.0
VY Mahesh,Punjab Kings,6.0,5,120.0
VY Mahesh,Rajasthan Royals,3.0,11,27.27272727272727
W Jaffer,Chennai Super Kings,50.0,36,138.88888888888889
W Jaffer,Delhi Capitals,10.0,9,111.11111111111111
W Jaffer,Kolkata Knight Riders,6.0,18,33.33333333333333
W Jaffer,Mumbai Indians,7.0,10,70.0
W Jaffer,Punjab Kings,0.0,5,0.0
W Jaffer,Rajasthan Royals,8.0,9,88.88888888888889
W Jaffer,Sunrisers Hyderabad,49.0,42,116.66666666666667
WA Mota,Chennai Super Kings,30.0,37,81.08108108108108
WA Mota,Mumbai Indians,9.0,13,69.23076923076923
WA Mota,Rajasthan Royals,2.0,3,66.66666666666666
WA Mota,Sunrisers Hyderabad,15.0,23,65.21739130434783
WD Parnell,Delhi Capitals,10.0,10,100.0
WD Parnell,Kochi Tuskers Kerala,1.0,6,16.666666666666664
WD Parnell,Kolkata Knight Riders,2.0,3,66.66666666666666
WD Parnell,Mumbai Indians,22.0,28,78.57142857142857
WD Parnell,Rajasthan Royals,2.0,2,100.0
WD Parnell,Sunrisers Hyderabad,16.0,17,94.11764705882352
WP Saha,Chennai Super Kings,90.0,53,169.81132075471697
WP Saha,Delhi Capitals,26.0,25,104.0
WP Saha,Kochi Tuskers Kerala,46.0,35,131.42857142857142
WP Saha,Mumbai Indians,9.0,10,90.0
WP Saha,Punjab Kings,78.0,61,127.86885245901641
WP Saha,Rajasthan Royals,13.0,10,130.0
